Rank,MovieTitle,Year,Rating,Votes
131,Green Book,Unknown,8.2,N/A
132,Batman Begins,Unknown,8.2,N/A
133,The Truman Show,Unknown,8.2,N/A
134,Per qualche dollaro in più,Unknown,8.2,N/A
135,Judgment at Nuremberg,Unknown,8.3,N/A
136,Some Like It Hot,Unknown,8.2,N/A
137,Shutter Island,Unknown,8.2,N/A
138,The Kid,Unknown,8.2,N/A
139,The Father,Unknown,8.2,N/A
140,All About Eve,Unknown,8.2,N/A
141,Jurassic Park,Unknown,8.2,N/A
142,There Will Be Blood,Unknown,8.2,N/A
143,The Sixth Sense,Unknown,8.2,N/A
144,Casino,Unknown,8.2,N/A
145,Ran,Unknown,8.2,N/A
146,Top Gun: Maverick,Unknown,8.2,N/A
147,No Country for Old Men,Unknown,8.2,N/A
148,The Thing,Unknown,8.2,N/A
149,El laberinto del fauno,Unknown,8.2,N/A
150,Unforgiven,Unknown,8.2,N/A
151,Kill Bill: Vol. 1,Unknown,8.2,N/A
152,A Beautiful Mind,Unknown,8.2,N/A
153,The Treasure of the Sierra Madre,Unknown,8.2,N/A
154,Prisoners,Unknown,8.2,N/A
155,Yôjinbô,Unknown,8.2,N/A
156,Finding Nemo,Unknown,8.2,N/A
157,Hauru no ugoku shiro,Unknown,8.2,N/A
158,The Great Escape,Unknown,8.2,N/A
159,Monty Python and the Holy Grail,Unknown,8.2,N/A
160,The Elephant Man,Unknown,8.2,N/A
161,Dial M for Murder,Unknown,8.2,N/A
162,Klaus,Unknown,8.2,N/A
163,Gone with the Wind,Unknown,8.2,N/A
164,Chinatown,Unknown,8.1,N/A
165,Rashômon,Unknown,8.2,N/A
166,El secreto de sus ojos,Unknown,8.2,N/A
167,"Lock, Stock and Two Smoking Barrels",Unknown,8.1,N/A
168,V for Vendetta,Unknown,8.1,N/A
169,Inside Out,Unknown,8.1,N/A
170,"Three Billboards Outside Ebbing, Missouri",Unknown,8.1,N/A
171,The Bridge on the River Kwai,Unknown,8.1,N/A
172,Catch Me If You Can,Unknown,8.1,N/A
173,Trainspotting,Unknown,8.1,N/A
174,Raging Bull,Unknown,8.1,N/A
175,The Wild Robot,Unknown,8.2,N/A
176,Fargo,Unknown,8.1,N/A
177,Warrior,Unknown,8.1,N/A
178,Harry Potter and the Deathly Hallows: Part 2,Unknown,8.1,N/A
179,Gran Torino,Unknown,8.1,N/A
180,Million Dollar Baby,Unknown,8.1,N/A
181,Ben-Hur,Unknown,8.1,N/A
182,Mad Max: Fury Road,Unknown,8.1,N/A
183,Tonari no Totoro,Unknown,8.1,N/A
184,Barry Lyndon,Unknown,8.1,N/A
185,Dead Poets Society,Unknown,8.1,N/A
186,Spider-Man: No Way Home,Unknown,8.2,N/A
187,Bacheha-ye aseman,Unknown,8.2,N/A
188,12 Years a Slave,Unknown,8.1,N/A
189,Hacksaw Ridge,Unknown,8.1,N/A
190,The Grand Budapest Hotel,Unknown,8.1,N/A
191,Before Sunrise,Unknown,8.1,N/A
192,Blade Runner,Unknown,8.1,N/A
193,Salinui chueok,Unknown,8.1,N/A
194,Gone Girl,Unknown,8.1,N/A
195,Ratatouille,Unknown,8.1,N/A
196,"Monsters, Inc.",Unknown,8.1,N/A
197,In the Name of the Father,Unknown,8.1,N/A
198,How to Train Your Dragon,Unknown,8.1,N/A
199,Relatos salvajes,Unknown,8.1,N/A
200,The Gold Rush,Unknown,8.1,N/A
201,Jaws,Unknown,8.1,N/A
202,Sherlock Jr.,Unknown,8.2,N/A
203,Mary and Max.,Unknown,8.1,N/A
204,Ford v Ferrari,Unknown,8.1,N/A
205,The Deer Hunter,Unknown,8.1,N/A
206,Le salaire de la peur,Unknown,8.1,N/A
207,The General,Unknown,8.1,N/A
208,Mr. Smith Goes to Washington,Unknown,8.1,N/A
209,On the Waterfront,Unknown,8.1,N/A
210,Logan,Unknown,8.1,N/A
211,Smultronstället,Unknown,8.1,N/A
212,Rocky,Unknown,8.1,N/A
213,The Third Man,Unknown,8.1,N/A
214,Tôkyô monogatari,Unknown,8.1,N/A
215,Spotlight,Unknown,8.1,N/A
216,The Big Lebowski,Unknown,8.1,N/A
217,The Terminator,Unknown,8.1,N/A
218,Maharaja,Unknown,8.4,N/A
219,Pirates of the Caribbean: The Curse of the Black Pearl,Unknown,8.1,N/A
220,Det sjunde inseglet,Unknown,8.1,N/A
221,Room,Unknown,8.1,N/A
222,La haine,Unknown,8.1,N/A
223,Jai Bhim,Unknown,8.6,N/A
224,Hotel Rwanda,Unknown,8.1,N/A
225,Platoon,Unknown,8.1,N/A
226,The Best Years of Our Lives,Unknown,8.1,N/A
227,Before Sunset,Unknown,8.1,N/A
228,The Exorcist,Unknown,8.1,N/A
229,The Sound of Music,Unknown,8.1,N/A
230,The Incredibles,Unknown,8.0,N/A
231,The Wizard of Oz,Unknown,8.1,N/A
232,La passion de Jeanne d&apos;Arc,Unknown,8.1,N/A
233,Hachi: A Dog&apos;s Tale,Unknown,8.1,N/A
234,Rush,Unknown,8.1,N/A
235,Stand by Me,Unknown,8.1,N/A
236,Babam ve Oglum,Unknown,8.2,N/A
237,Network,Unknown,8.1,N/A
238,The Iron Giant,Unknown,8.1,N/A
239,Ainda Estou Aqui,Unknown,8.2,N/A
240,Koe no katachi,Unknown,8.1,N/A
241,Ah-ga-ssi,Unknown,8.1,N/A
242,La battaglia di Algeri,Unknown,8.1,N/A
243,To Be or Not to Be,Unknown,8.1,N/A
244,The Grapes of Wrath,Unknown,8.1,N/A
245,Into the Wild,Unknown,8.0,N/A
246,Groundhog Day,Unknown,8.0,N/A
247,The Help,Unknown,8.1,N/A
248,Höstsonaten,Unknown,8.1,N/A
249,Amores perros,Unknown,8.0,N/A
250,Drishyam,Unknown,8.2,N/A
